,,,,,,,,,,,Census,2010 Based Population Forecasts,,,,2020 Census Data
461,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,622,623,624,625,,
462,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,4494,4503,4510,4517,,
463,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,1297,1300,1302,1304,,
464,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,645,646,647,648,,
465,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,4376,4385,4392,4399,,
466,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,3563,3570,3576,3581,,
467,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,4576,4585,4593,4600,,
468,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,5205,5215,5224,5232,,
469,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,3457,3464,3470,3475,,
470,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,2637,2642,2647,2651,,
471,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,2304,2308,2312,2316,,
472,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,5792,5803,5813,5822,,
473,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,1587,1590,1593,1595,,
474,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,4113,4121,4128,4134,,
475,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,2599,2604,2608,2612,,
476,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,1794,1797,1801,1803,,
477,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,4831,4840,4849,4856,,
478,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,3565,3572,3578,3583,,
479,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,3828,3835,3842,3848,,
480,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,5396,5407,5416,5424,,
481,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,6184,6196,6206,6216,,
482,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,3514,3521,3527,3532,,
483,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,3311,3317,3323,3328,,
484,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,2157,2161,2165,2168,,
485,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,2038,2042,2045,2049,,
486,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,4524,4533,4541,4547,,
487,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,4066,4074,4081,4087,,
488,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,3517,3524,3530,3535,,
489,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,5726,5737,5747,5756,,
490,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,3026,3032,3037,3042,,
491,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,1879,1883,1886,1889,,
492,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,4052,4060,4067,4073,,
493,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,2448,2453,2457,2461,,
494,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,1451,1454,1456,1459,,
495,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,3456,3463,3469,3474,,
496,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,3395,3402,3407,3413,,
497,Bridgeport,47,15,Fairfield,102,MetroCOG,7,GBVMPO,7,,247,247,248,249,,
235,Bridgewater,21,16,Litchfield,303,WestCOG,1,HVMPO,2,,460,473,486,498,,
236,Bridgewater,21,16,Litchfield,303,WestCOG,1,HVMPO,2,,794,817,839,860,,
237,Bridgewater,21,16,Litchfield,303,WestCOG,1,HVMPO,2,,257,264,271,278,,
238,Bridgewater,21,16,Litchfield,303,WestCOG,1,HVMPO,2,,216,222,228,235,,
742,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,2282,2317,2351,2385,,
743,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,1716,1742,1768,1794,,
744,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,3390,3442,3493,3543,,
745,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,2018,2049,2079,2109,,
746,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,2619,2659,2699,2737,,
747,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,2415,2452,2489,2524,,
748,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,2955,3001,3045,3088,,
749,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,1350,1371,1391,1411,,
750,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,2144,2177,2209,2241,,
751,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,2576,2616,2654,2692,,
752,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,1853,1882,1909,1937,,
753,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,2742,2784,2825,2866,,
754,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,836,849,862,874,,
755,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,3758,3816,3872,3927,,
756,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,2934,2979,3023,3067,,
757,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,2322,2358,2393,2427,,
758,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,2637,2678,2717,2756,,
759,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,2760,2803,2844,2885,,
760,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,1129,1146,1163,1180,,
761,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,1082,1099,1116,1131,,
762,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,1584,1608,1632,1656,,
763,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,510,518,527,533,,
764,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,1146,1164,1181,1198,,
765,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,683,694,705,714,,
766,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,2921,2966,3010,3053,,
767,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,1975,2005,2035,2064,,
768,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,3958,4018,4078,4136,,
769,Bristol,67,17,Hartford,204,NVCOG,5,CNVRMPO,5,,2182,2216,2248,2281,,
239,Brookfield,22,18,Fairfield,103,WestCOG,1,HVMPO,2,,2284,2433,2578,2721,,
240,Brookfield,22,18,Fairfield,103,WestCOG,1,HVMPO,2,,3824,4074,4317,4555,,
241,Brookfield,22,18,Fairfield,103,WestCOG,1,HVMPO,2,,2311,2462,2609,2753,,
242,Brookfield,22,18,Fairfield,103,WestCOG,1,HVMPO,2,,2048,2182,2312,2440,,
243,Brookfield,22,18,Fairfield,103,WestCOG,1,HVMPO,2,,1514,1613,1710,1804,,
244,Brookfield,22,18,Fairfield,103,WestCOG,1,HVMPO,2,,4471,4762,5047,5326,,
1755,Brooklyn,160,19,Windham,802,NECCOG,15,NECCOG,R,,910,994,1076,1156,,
1756,Brooklyn,160,19,Windham,802,NECCOG,15,NECCOG,R,,1484,1621,1754,1884,,
1757,Brooklyn,160,19,Windham,802,NECCOG,15,NECCOG,R,,1751,1912,2069,2223,,
1758,Brooklyn,160,19,Windham,802,NECCOG,15,NECCOG,R,,4065,4439,4804,5162,,
679,Burlington,58,20,Hartford,205,NHCOG,3,NHCOG,R,,2468,2758,3040,3317,,
