,,,,,,,,,,,CTDPH,2015 Based Population Forecasts,,,
81,Darien,4,35,Fairfield,105,WestCOG,1,SWRMPO,1,,2407,2447,2529,2608,2686
82,Darien,4,35,Fairfield,105,WestCOG,1,SWRMPO,1,,3308,3365,3476,3586,3693
83,Darien,4,35,Fairfield,105,WestCOG,1,SWRMPO,1,,1284,1306,1349,1392,1434
84,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,3339,3391,3493,3594,3693
85,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2125,2158,2224,2288,2351
86,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2644,2685,2767,2846,2925
87,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,1223,1242,1280,1316,1353
88,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2620,2661,2742,2821,2898
89,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2541,2580,2658,2735,2810
90,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2172,2206,2272,2338,2402
91,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2206,2240,2308,2375,2440
92,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2077,2109,2173,2235,2297
93,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2666,2707,2789,2870,2949
94,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2590,2631,2710,2789,2865
95,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,4768,4843,4989,5133,5274
96,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,504,512,528,543,558
97,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,1645,1670,1721,1770,1819
98,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,4549,4620,4760,4897,5032
99,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,1470,1493,1538,1582,1626
100,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,3323,3375,3477,3577,3676
101,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,1709,1735,1788,1839,1890
102,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,1604,1629,1679,1727,1774
103,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2204,2238,2306,2372,2438
104,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2752,2794,2879,2962,3044
105,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,1027,1044,1075,1106,1137
106,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,5885,5976,6157,6335,6509
107,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2552,2592,2670,2747,2823
108,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2424,2462,2536,2609,2681
109,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,3232,3283,3382,3480,3575
110,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,3557,3612,3722,3829,3934
111,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2719,2761,2845,2926,3007
112,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,1201,1220,1257,1293,1329
113,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2392,2429,2503,2575,2646
114,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,3447,3501,3607,3711,3813
115,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,1784,1812,1867,1921,1973
116,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2676,2718,2800,2881,2960
117,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2298,2334,2404,2474,2542
118,Norwalk,5,102,Fairfield,113,WestCOG,1,SWRMPO,1,,2560,2600,2679,2756,2832
119,Wilton,6,161,Fairfield,123,WestCOG,1,SWRMPO,1,,1351,1382,1444,1504,1564
120,Wilton,6,161,Fairfield,123,WestCOG,1,SWRMPO,1,,2684,2746,2869,2989,3107
121,Wilton,6,161,Fairfield,123,WestCOG,1,SWRMPO,1,,1306,1337,1396,1455,1512
122,Wilton,6,161,Fairfield,123,WestCOG,1,SWRMPO,1,,2785,2849,2976,3101,3224
123,Wilton,6,161,Fairfield,123,WestCOG,1,SWRMPO,1,,2230,2281,2383,2483,2581
124,Wilton,6,161,Fairfield,123,WestCOG,1,SWRMPO,1,,1723,1763,1842,1918,1994
125,Wilton,6,161,Fairfield,123,WestCOG,1,SWRMPO,1,,2486,2543,2656,2768,2877
126,Wilton,6,161,Fairfield,123,WestCOG,1,SWRMPO,1,,2550,2609,2725,2839,2951
127,Wilton,6,161,Fairfield,123,WestCOG,1,SWRMPO,1,,1599,1636,1709,1780,1850
128,Ridgefield,7,117,Fairfield,115,WestCOG,1,HVMPO,2,,1550,1591,1671,1749,1826
129,Ridgefield,7,117,Fairfield,115,WestCOG,1,HVMPO,2,,2145,2200,2311,2419,2526
130,Ridgefield,7,117,Fairfield,115,WestCOG,1,HVMPO,2,,2843,2917,3064,3208,3349
131,Ridgefield,7,117,Fairfield,115,WestCOG,1,HVMPO,2,,1292,1326,1392,1458,1522
132,Ridgefield,7,117,Fairfield,115,WestCOG,1,HVMPO,2,,2293,2353,2471,2587,2701
133,Ridgefield,7,117,Fairfield,115,WestCOG,1,HVMPO,2,,2213,2271,2385,2497,2606
134,Ridgefield,7,117,Fairfield,115,WestCOG,1,HVMPO,2,,2070,2124,2230,2335,2438
135,Ridgefield,7,117,Fairfield,115,WestCOG,1,HVMPO,2,,1059,1087,1142,1195,1248
136,Ridgefield,7,117,Fairfield,115,WestCOG,1,HVMPO,2,,1342,1377,1446,1514,1581
137,Ridgefield,7,117,Fairfield,115,WestCOG,1,HVMPO,2,,1712,1757,1845,1931,2016
138,Ridgefield,7,117,Fairfield,115,WestCOG,1,HVMPO,2,,1416,1453,1526,1597,1668
139,Ridgefield,7,117,Fairfield,115,WestCOG,1,HVMPO,2,,2653,2722,2859,2993,3124
