V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,CASENO
0,18,1,18,2,2,20,2,2,6,2,6,4,6,2,5,2,6,5,6,5,6,5,5,5,5,5,5,5,2,3,3,2,1,3,2,2,2,2,5,5,5,5,5,4,5,5,6,3,2,5,5,4,4,6,6,6,6,3,6,6,6,6,6,4,6,6,6,53,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,1,,2,2,2,2,2,2,2,2,3,35
1,25,1,9,0,2,0,3,4,5,3,5,5,5,2,5,4,5,5,3,2,2,5,5,5,2,5,5,5,2,5,4,1,1,2,2,1,1,2,5,2,5,5,5,5,4,5,5,2,4,5,5,4,5,5,4,5,4,4,5,5,4,5,6,5,5,3,5,41,1,1,3,0,,0,,0,,0,,0,,0,,3,5,4,5,,1,2,1,1,3,3,3,3,3,36
1,19,0,12,2,1,22,3,2,4,2,4,5,5,5,4,3,5,5,5,4,3,5,5,5,4,4,4,3,2,2,3,2,3,4,3,1,2,2,4,5,3,3,3,5,2,3,3,5,5,2,3,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,12,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,2,,2,2,2,1,3,3,3,3,3,37
0,31,0,11,2,0,13,2,5,4,5,4,5,6,2,4,4,5,5,4,4,3,5,6,5,4,5,5,5,2,5,5,3,3,3,2,2,2,2,4,5,4,4,4,5,5,5,3,4,4,4,4,4,5,6,4,4,4,4,4,2,4,5,3,3,5,3,4,37,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,3,6,2,1,methodist,2,2,1,3,2,2,3,3,3,38
1,31,1,11,2,2,6,1,6,5,5,5,5,6,1,5,2,6,6,6,5,2,4,5,4,1,2,5,6,2,2,2,2,1,2,2,2,2,2,2,6,6,5,5,2,1,6,5,2,5,5,5,5,5,5,4,6,6,6,6,6,6,6,6,2,6,4,6,35,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,4,5,3,1,episcopal,1,1,1,1,2,1,2,2,1,39
1,21,1,19,0,0,23,3,3,4,6,5,6,5,1,4,6,5,5,5,4,4,5,4,4,3,5,5,5,4,5,3,2,1,3,2,1,3,1,4,6,4,6,4,6,4,5,4,5,5,4,4,5,5,4,1,6,2,3,6,6,5,6,6,5,6,1,6,63,1,1,3,0,0,1,1,0,0,0,1,0,1,0,0,2,6,1,5,,2,1,1,3,3,2,3,2,3,40
1,26,0,15,1,0,17,3,3,4,5,4,5,6,2,4,5,5,,5,5,6,2,5,5,2,5,5,6,6,6,,3,1,2,1,1,3,1,3,5,3,3,4,5,3,4,3,6,3,3,4,3,6,4,3,4,4,3,4,4,4,5,5,5,4,3,4,65,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,1,LUTHERAN,2,2,1,1,3,3,3,3,3,41
1,18,1,18,1,2,0,2,3,5,3,5,5,5,3,4,4,4,5,5,4,2,4,4,3,2,4,4,5,3,4,4,3,3,4,1,2,1,2,4,4,5,4,4,3,4,5,5,2,4,5,5,4,5,5,4,5,5,5,4,5,5,5,4,3,5,4,5,47,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,2,,2,2,1,2,3,3,3,3,3,42
1,34,1,20,1,1,24,2,3,5,1,5,4,6,1,6,4,6,6,6,6,1,6,6,4,6,6,6,5,1,6,4,2,1,1,2,2,1,2,6,4,5,5,6,4,6,6,4,3,4,5,6,6,4,6,2,5,4,1,1,6,5,6,4,6,6,4,4,49,0,1,4,0,0,0,1,1,0,0,0,0,0,0,0,5,6,1,2,,1,2,1,1,3,2,2,3,3,43
1,31,0,2,2,1,20,3,3,6,4,4,5,6,2,2,6,6,6,6,5,6,6,2,2,2,1,1,6,6,6,6,3,1,3,3,1,2,1,5,6,,,,6,6,4,1,4,1,3,4,1,6,5,,,,,,,,,,,,,,3,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,1,9,3,2,,1,1,1,3,2,1,3,3,3,44
0,25,1,5,0,2,24,1,3,6,1,6,6,6,1,2,5,5,6,6,6,3,5,5,5,5,5,5,4,2,2,2,2,1,1,2,2,1,1,5,5,5,5,5,2,4,5,5,3,3,6,6,2,4,5,3,2,5,2,6,5,5,6,5,5,6,5,6,54,1,1,2,1,,1,,1,,0,,0,,0,,5,5,3,1,,1,2,1,1,2,3,2,2,2,45
1,30,1,10,0,2,0,3,2,6,1,4,4,2,1,6,1,1,6,1,5,1,5,6,4,5,5,6,3,2,1,2,1,2,2,2,3,1,3,6,4,5,4,6,1,4,6,5,2,4,5,6,6,3,6,1,2,1,2,1,3,1,2,4,3,1,2,3,23,1,2,4,0,,1,,0,,0,,0,,,,2,5,2,5,,1,2,1,1,2,3,3,2,3,46
1,20,1,20,2,2,0,3,2,2,5,4,5,6,3,2,5,4,3,6,4,5,4,6,6,1,6,5,6,6,6,2,3,1,4,3,1,1,1,3,6,4,5,5,6,2,5,5,4,1,5,5,3,6,5,6,6,6,6,6,6,6,6,6,4,6,6,6,47,1,1,8,0,0,0,1,0,1,0,0,0,0,0,0,2,8,6,1,CHRISTIAN,1,1,1,4,2,2,3,2,3,47
0,24,1,20,0,0,20,3,6,6,4,5,5,4,2,2,2,6,6,5,6,2,5,5,5,5,5,5,2,2,2,2,2,2,3,2,2,2,2,6,5,6,5,5,2,5,5,5,2,3,5,5,4,5,6,6,6,6,2,6,6,6,6,5,5,5,6,5,37,0,2,4,0,0,0,1,0,0,0,1,0,0,0,1,4,6,4,1,PENTECOSTAL,1,2,1,1,2,1,2,3,3,48
0,24,1,9,2,2,19,2,6,6,6,6,6,6,1,6,4,6,6,6,6,6,6,5,5,6,6,6,4,1,6,2,3,1,4,1,1,1,1,5,6,5,6,6,6,4,6,6,6,6,5,6,2,6,6,6,5,6,4,6,6,6,6,5,3,6,4,6,65,0,1,3,0,1,0,1,0,1,0,0,0,0,0,0,3,,3,4,,2,2,1,4,3,3,3,3,3,49
0,22,1,17,0,1,0,1,4,4,3,5,5,5,1,4,2,6,6,4,5,4,5,4,4,5,6,4,3,4,2,2,2,1,1,2,,,,2,1,3,2,3,4,4,4,4,4,4,4,4,4,4,3,2,3,2,4,4,4,4,4,4,4,4,4,4,34,1,2,5,0,1,0,1,0,1,0,1,0,0,0,0,5,5,4,1,,1,2,2,2,3,1,1,2,3,50
1,27,1,11,1,0,0,3,4,4,4,5,5,6,1,4,6,6,6,6,6,6,5,2,2,1,4,4,6,6,6,6,3,1,4,3,1,2,1,2,6,5,2,4,3,2,4,5,6,1,4,4,6,6,5,4,5,5,4,6,6,6,5,5,4,6,5,6,30,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,1,,1,2,1,1,3,3,3,3,3,51
1,18,1,9,1,1,13,3,2,6,1,6,5,2,1,5,1,3,6,1,5,1,5,5,5,5,5,4,4,2,5,2,2,2,1,2,2,2,2,3,2,5,5,5,1,4,5,3,1,3,5,5,3,5,6,1,1,1,1,1,1,1,1,5,1,1,1,1,49,1,1,8,0,1,0,1,0,1,0,1,0,0,0,0,5,3,6,5,,1,1,1,1,3,3,3,3,3,52
0,26,0,7,0,0,0,3,4,4,2,2,5,6,1,4,6,6,5,6,6,2,2,5,4,4,5,4,4,3,2,3,,1,4,2,2,2,2,5,5,5,5,5,3,5,5,6,2,2,5,5,2,4,6,4,5,6,5,6,5,5,6,5,4,5,4,6,24,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,2,,2,2,2,2,3,3,3,3,3,53
1,15,1,14,0,0,0,3,5,4,6,2,5,6,2,1,6,3,5,6,4,6,4,4,5,5,3,4,6,5,5,3,3,1,4,3,1,2,1,4,6,2,4,4,3,4,4,1,6,1,4,3,4,1,4,4,4,6,4,4,4,6,6,4,4,4,4,3,50,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,1,presbyterian,2,1,1,3,2,1,2,1,2,54
1,28,1,13,1,1,0,1,2,6,3,6,6,6,1,2,6,6,6,6,6,5,6,5,5,5,5,4,5,3,4,2,3,1,3,3,2,2,2,4,4,4,4,4,4,3,5,4,4,2,4,5,3,4,6,4,4,3,1,1,4,2,2,5,1,4,1,1,59,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,3,5,3,5,,2,2,2,1,3,3,2,2,3,55
1,17,0,12,2,2,23,2,5,3,5,5,4,6,1,4,5,5,2,5,3,4,4,5,4,5,4,5,5,2,4,2,3,1,3,3,1,1,1,5,6,5,4,3,5,5,5,2,4,4,4,5,5,6,4,3,2,5,2,3,2,5,3,3,4,4,4,4,22,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,1,methodist,2,2,2,5,2,2,3,3,3,56
1,29,1,13,2,1,17,3,5,6,1,6,6,4,1,6,1,4,6,4,6,1,6,6,6,6,6,6,6,1,2,1,2,2,1,2,3,1,2,6,3,5,3,6,1,6,6,5,1,4,5,6,4,2,6,4,5,4,4,1,6,4,4,4,2,6,3,1,70,1,1,8,0,0,0,1,0,1,0,0,0,1,0,0,3,4,2,2,,2,1,1,5,1,2,2,1,2,57
1,24,0,16,1,2,13,3,5,6,4,6,6,6,2,4,5,5,6,6,5,3,5,5,5,4,5,5,4,3,3,3,2,2,1,2,2,2,2,5,4,5,6,4,4,5,5,5,3,3,5,5,3,4,6,4,5,5,4,5,6,5,6,6,6,6,5,5,53,0,2,8,0,1,0,0,0,0,0,0,0,0,0,0,4,4,5,1,,2,1,1,1,3,3,3,3,3,58
